year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,sellingprice,saledate
2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4acxdh702805,ma,3.9,50404.0mi,black,gray,the hertz corporation,$10900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2014,Toyota,4Runner,SR5,SUV,automatic,jtezu5jr2e5064567,fl,4.9,17846.0mi,gray,—,award auto sales and leasing inc,$29900,Wed Feb 18 2015 07:15:00 GMT-0800 (PST)
2012,Lexus,IS 250,Base,Sedan,automatic,jthbf5c24c5168599,fl,4.1,21122.0mi,silver,black,lexus financial services,$24200,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2002,BMW,X5,4.4i,SUV,automatic,5uxfb33562lh33864,fl,1.9,145303.0mi,black,black,peddle llc,$3200,Wed Mar 04 2015 07:10:00 GMT-0800 (PST)
2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew0eda31832,wa,4.9,6714.0mi,white,gray,u-haul,$22100,Wed Feb 18 2015 06:45:00 GMT-0800 (PST)
2014,Kia,Optima,LX,sedan,automatic,5xxgm4a70eg329048,co,4.6,8386.0mi,black,gray,"kia motors america, inc",$15500,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
2007,Chevrolet,Avalanche,LS,Crew Cab,automatic,3gnfk12387g117727,wa,3.6,100676.0mi,gray,black,lexus of tacoma at fife,$13600,Wed Jan 21 2015 05:20:00 GMT-0800 (PST)
2008,Cadillac,CTS,Base,Sedan,automatic,1g6dv57v180180380,ca,4.6,87860.0mi,white,beige,aaero sweet company,$14700,Wed Jan 14 2015 04:15:00 GMT-0800 (PST)
2011,Mercedes-Benz,E-Class,E350,Sedan,automatic,wddhf5gb6ba419589,il,1.7,27819.0mi,gray,black,wells fargo dealer services,$20000,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
2014,Kia,Forte,LX,Sedan,automatic,knafx4a60e5219872,nv,4.9,4046.0mi,blue,gray,"kia motors america, inc",$13600,Fri Mar 06 2015 04:00:00 GMT-0800 (PST)
2015,Jeep,Wrangler,Freedom Edition,suv,automatic,1c4gjwag2fl564931,mo,5.0,3615.0mi,blue,black,santander consumer,$27500,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5dm715919,ca,4.4,29493.0mi,black,black,nissan infiniti lt,$22250,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ft6cg802379,il,3.6,34199.0mi,black,black,"ford motor credit company,llc",$23700,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2013,Kia,Soul,Base,Wagon,automatic,kndjt2a54d7757529,tx,3.6,18956.0mi,white,black,cm investments,$12000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2011,Ford,Ranger,XL,Regular Cab,automatic,1ftkr1ad1bpa53158,ne,1.7,126980.0mi,white,black,ari,$3700,Thu Jan 08 2015 12:15:00 GMT-0800 (PST)
2010,Mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8ch5a5m56518,md,3.6,100605.0mi,burgundy,gray,autonation buick gmc laurel,$5500,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2008,Toyota,Tundra,SR5,Double Cab,automatic,5tbrt54188s460149,fl,2.7,273881.0mi,gray,black,onemain rem/cars under 5000,$7300,Fri May 22 2015 02:20:00 GMT-0700 (PDT)
2007,Chrysler,PT Cruiser,Touring,wagon,automatic,3a4fy58b57t631081,nj,1.0,77468.0mi,black,gray,purple heart services inc,$800,Thu Jun 11 2015 11:00:00 GMT-0700 (PDT)
2011,GMC,Acadia,SLT-2,SUV,automatic,1gkkrsedxbj180904,la,4.2,72232.0mi,beige,tan,fifth third bank,$18000,Wed Jun 03 2015 04:00:00 GMT-0700 (PDT)
2012,Ford,Mustang,V6,Coupe,automatic,1zvbp8am9c5258087,ny,2.5,44474.0mi,black,black,"ford motor credit company,llc",$12500,Wed Jan 28 2015 01:20:00 GMT-0800 (PST)
2008,Honda,Odyssey,Touring,Minivan,automatic,5fnrl38938b007721,nc,3.5,137852.0mi,white,beige,rick hendrick chevrolet buick gmc,$8900,Mon Feb 16 2015 01:30:00 GMT-0800 (PST)
2014,BMW,X3,xDrive28i,SUV,automatic,5uxwx9c5xe0d25555,ca,4.0,8514.0mi,black,tan,sterling bmw,$36500,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2007,Cadillac,STS,V6,Sedan,automatic,1g6dw677770162260,ma,3.0,100386.0mi,black,tan,premier cape cod,$5900,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2010,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ev5afa24330,ut,4.4,81436.0mi,white,gray,excell auto center,$16300,Wed Mar 04 2015 03:30:00 GMT-0800 (PST)
2012,Toyota,Sienna,LE 8-Passenger,Minivan,automatic,5tdka3dc9cs013147,fl,4.1,25446.0mi,blue,gray,world omni financial corporation,$17800,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2008,Jeep,Liberty,Sport,suv,automatic,1j8gn28k68w244738,tx,3.1,104899.0mi,gray,beige,tdaf remarketing,$8300,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2007,Cadillac,DTS,Base,sedan,automatic,1g6kd57y27u196194,nj,2.4,103634.0mi,white,beige,j & s auto haus,$3000,Wed May 27 2015 02:00:00 GMT-0700 (PDT)
2005,Chrysler,Sebring,Base,Sedan,automatic,1c3el46x35n543205,co,1.9,144723.0mi,silver,black,dt inventory,$700,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
2007,Dodge,Nitro,SLT,SUV,automatic,1d8gu58k07w669321,va,2.4,109122.0mi,gold,black,faa/dt,$5100,Thu Jan 22 2015 01:20:00 GMT-0800 (PST)
2013,Toyota,Tacoma,PreRunner V6,Double Cab,automatic,3tmju4gn8dm146781,fl,5.0,8972.0mi,blue,gray,toyota motor sales usa inc/buyback,$23000,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae4ch121116,ca,2.5,63623.0mi,silver,gray,the hertz corporation,$9100,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
2013,Audi,Q7,3.0T S line Prestige quattro,SUV,automatic,wa1dgafe9dd016597,ca,4.0,32281.0mi,gray,black,mckenna audi/mckenna bmw,$40250,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap6cc839315,mo,3.5,33129.0mi,silver,black,nissan-infiniti lt,$17900,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2015,Chevrolet,Corvette,Stingray,coupe,automatic,1g1yb2d75f5103340,ga,4.7,6828.0mi,gray,black,butler honda,$51000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2011,Jeep,Grand Cherokee,Limited,SUV,automatic,1j4rs6gt2bc649881,fl,4.5,46583.0mi,green,beige,hyundai of wesley chapel,$20600,Thu Jan 22 2015 01:45:00 GMT-0800 (PST)
2007,Toyota,FJ Cruiser,Base,SUV,manual,jtebu11f870100973,tn,3.3,69171.0mi,black,black,toyota financial services,$12900,Tue May 26 2015 03:00:00 GMT-0700 (PDT)
2013,Ford,Fiesta,SE,Sedan,manual,3fadp4bj9dm118258,oh,4.4,27825.0mi,blue,black,remarketing by ge/flagship credit acceptance,$9200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd9cu167542,tn,4.1,40289.0mi,black,black,hyundai motor finance,$19600,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg4er269758,fl,4.0,29336.0mi,silver,black,pv holding inc/gdp,$18900,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
2008,Ford,F-350 Super Duty,Lariat,Crew Cab,automatic,1ftww31rx8eb60067,tx,4.7,86031.0mi,blue,black,rlb investments,$25000,Wed Dec 31 2014 10:20:00 GMT-0800 (PST)
2008,BMW,Z4,3.0i,convertible,automatic,4usbu33548lw75733,ca,2.9,121857.0mi,black,black,east bay bmw,$8600,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2012,Nissan,Murano,SV,SUV,automatic,jn8az1mu2cw122152,tx,4.9,7570.0mi,gray,black,"ford motor credit company,llc",$20900,Thu Feb 19 2015 02:30:00 GMT-0800 (PST)
2006,Lexus,IS 250,Base,Sedan,automatic,jthbk262362008161,tx,2.5,111390.0mi,red,—,fairway ford henderson,$8900,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
2013,Mercedes-Benz,E-Class,E350 Sport 4MATIC,Sedan,automatic,wddhf8jb7da707733,oh,3.6,25270.0mi,black,black,mercedes-benz financial services,$28750,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2014,Buick,Enclave,Leather Group,SUV,automatic,5gakrbkd3ej376267,il,4.0,22125.0mi,white,gray,gm remarketing,$31700,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
2009,Jeep,Wrangler,X,SUV,automatic,1j4fa24139l715186,mo,2.4,95245.0mi,silver,gray,remarketing by ge/flagship credit acceptance,$11900,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2011,Nissan,Altima,2.5,Sedan,automatic,1n4al2apxbn408505,va,3.4,75476.0mi,white,beige,suntrust bank,$8300,Thu Jan 29 2015 01:20:00 GMT-0800 (PST)
2005,Nissan,Sentra,1.8 S,Sedan,automatic,3n1cb51dx5l520774,ca,1.9,122367.0mi,white,beige,aaero sweet company,$1250,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2008,Mercedes-Benz,R-Class,R350 4MATIC,Wagon,automatic,4jgcb65e68a080534,ca,2.8,119338.0mi,silver,black,tdaf remarketing,$6700,Tue Jan 13 2015 04:30:00 GMT-0800 (PST)
2004,GMC,Sierra 1500,SLT,Extended Cab,automatic,1gtek19t44z239605,md,2.1,115811.0mi,gray,gray,wells fargo dealer services,$8200,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2005,MINI,Cooper,S,Hatchback,manual,wmwre33405td95294,ga,1.9,134069.0mi,purple,black,tdaf remarketing,$2800,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2011,Jaguar,XJ,Base,Sedan,automatic,sajwa1cb8blv07709,ca,4.5,40995.0mi,gray,black,jaguar north america llc,$27000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jc1dbb36207,il,4.7,29860.0mi,black,black,"ford motor credit company,llc",$21300,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
2011,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap3bn483918,ms,3.9,90027.0mi,blue,black,santander consumer,$9500,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep9cc206665,tx,4.3,32184.0mi,black,gray,nissan-infiniti lt,$13200,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k29dl247542,co,4.1,50257.0mi,gray,black,ars/avis budget group,$11400,Wed Feb 11 2015 04:00:00 GMT-0800 (PST)
2013,Dodge,Avenger,SE,sedan,automatic,1c3cdzab7dn713156,pa,2.7,62091.0mi,silver,black,dtg operations inc,$7300,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2008,Honda,Civic,Si,Sedan,manual,2hgfa555x8h702697,nc,1.9,93799.0mi,black,black,honda of concord,$8700,Wed Mar 04 2015 06:00:00 GMT-0800 (PST)
2013,Ford,Escape,SE,SUV,automatic,1fmcu9g99dua95193,mo,2.3,97611.0mi,—,gray,sutton ford/ge,$11200,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk0cr159010,wa,3.7,28463.0mi,silver,gray,toyota financial services,$13700,Wed Feb 18 2015 06:10:00 GMT-0800 (PST)
2013,Buick,Encore,Leather,suv,automatic,kl4cjcsbxdb206117,fl,4.3,25766.0mi,black,gray,braman motorcars,$17000,Wed Jun 17 2015 17:00:00 GMT-0700 (PDT)
